 op_mp  , op_gen , ow_avg , chp_mp , chp_gen 
0,0,3.7,0.03,2.09
0,0,0.81,0.31,0.63
8,10,24.73,0.16,5.78
0,0,0.25,0.26,0.26
40,0,0.96,0.21,0.35
8,0,0.65,0.04,0.04
34,5,12.38,0.7,1.96
67,0,32.09,5.15,7.28
100,0,0.08,0.09,0.09
0,0,0.12,0.1,0.1
61,0,1.9,0.08,0.1
0,0,0.11,0.02,0.02
0,0,0.61,0.11,0.11
0,0,0.84,0.11,0.11
0,0,0.41,0.28,0.28
0,0,3.48,0.2,0.23
100,0,6.66,0.1,0.1
44,5,15.48,0.94,1.34
38,0,0.86,0.39,0.39
33,0,4.44,2.88,5.17
0,0,1.48,0.06,0.69
100,0,10.54,4.9,4.9
53,0,3.4,0.18,0.27
25,0,0.22,0.06,0.07
0,0,20.54,1.06,1.06
28,11,16.72,0.36,0.51
100,0,1.2,0.21,0.13
63,18,24.51,1.34,1.07
0,4,4.77,0.05,0.08
0,0,0.24,0.05,0.11
44,0,34.23,5.52,4.97
0,0,0.03,0.01,0.01
0,0,35.18,1.84,1.84
50,0,1.11,0.07,0.11
0,0,0.82,0.42,0.42
67,0,2.85,0.21,0.16
25,0,1.96,0.16,0.23
0,0,0.35,0.09,0.12
50,0,3.98,0.1,0.12
0,0,0.16,0.03,0.03
83,0,0.53,0.05,0.05
50,2,5.53,0.15,0.18
0,0,6.13,0.11,0.11
34,6,14.93,0.32,0.65
23,1,4.79,0.21,0.27
18,0,6.98,1.46,1.82
0,0,4.11,2.24,2.24
52,0,1.31,0.05,0.05
56,44,52.93,0.99,0.99
0,0,0.22,0.17,0.17
40,1,8.47,0.48,0.77
50,0,2.71,0.25,0.25
25,0,4.7,0.42,0.45
23,0,1.11,0.16,0.13
33,0,5.99,0.83,1.24
33,0,0.76,0.07,0.14
58,2,7.24,0.09,0.21
0,0,0.14,0.06,0.06
0,0,0.86,0.08,0.05
67,0,2.34,0.27,0.27
0,0,0.04,0.02,0.02
58,11,41.11,2.58,3.5
33,0,12.08,0.07,0.3
52,1,4.94,0.1,0.13
100,0,11.85,0.11,0.09
100,0,17.48,0.18,0.18
33,0,0.44,0.04,0.06
0,0,0.12,0.1,0.1
18,0,4.94,0.41,0.45
0,0,4.84,0.06,0.02
0,0,1,0.14,0.14
14,0,1.33,0.07,0.21
0,0,0.07,0.05,0.05
50,4,7.27,0.51,0.56
50,0,0.45,0.16,0.14
60,3,11,0.6,0.54
50,0,10.31,0.03,0.76
100,0,0.93,0.18,0.11
0,0,0.37,0.03,0.03
0,0,0.51,0.14,0.06
37,0,3.59,0.49,1.63
33,1,7.01,0.23,0.4
33,0,1.91,0.18,0.16
0,0,0.27,0.26,0.26
50,0,0.96,0.08,0.15
100,25,26.18,0.28,0.22
0,0,22.69,0.1,0.71
0,0,0.15,0.02,0.02
50,28,31.65,0.06,1.01
0,0,0.27,0.01,0.01
33,2,5.63,0.25,1.05
100,0,3.88,1.88,1.13
0,0,0.11,0.06,0.06
19,0,0.76,0.11,0.11
0,0,0.53,0.22,0.22
0,0,0.15,0.03,0.03
63,2,9.32,0.6,0.81
48,9,15.23,0.77,1.6
100,50,50.41,1.13,1.42
0,0,0.03,0.02,0.02
43,1,6.61,0.25,0.29
42,3,6.02,0.82,0.32
33,33,33.13,1.05,0.96
100,0,0.7,0.01,0.11
100,33,37.04,0.76,0.76
17,0,3.84,0.28,0.37
82,0,1.63,0.45,0.36
0,0,0.84,0.14,0.14
0,0,0.29,0.13,0.13
0,12,14.6,0.13,1.5
0,0,2.07,0.03,0.28
30,0,16.7,1.02,1.52
0,0,0.11,0.14,0.14
19,0,8.92,0.53,0.47
80,0,5.52,0.22,0.19
0,0,0.1,0.07,0.05
0,0,0.06,0.02,0.02
0,0,0.12,0.02,0.02
0,0,21.43,0.15,0.15
19,0,6.38,0.36,0.95
63,14,37.19,1.1,1.26
4,3,9.75,0.34,0.44
0,0,1.11,0.15,0.27
0,0,0,0.02,0.02
46,0,17.44,0.27,1.65
67,5,14.22,0.66,0.54
32,0,8.24,0.17,0.21
59,10,17.27,0.43,0.5
67,0,8.68,0.82,0.82
0,0,0.01,0.02,0.02
20,0,4.65,0.32,0.32
0,0,0.62,0.11,0.37
0,0,1.08,0.21,0.21
50,0,2.47,0.04,0.1
0,0,0.09,0.1,0.1
40,5,14.85,2.1,1.38
100,0,16.43,0.15,0.15
0,0,0.87,0.4,0.21
25,0,2.3,0.3,0.3
52,4,16.36,0.39,0.77
11,0,0.72,0.07,0.07
0,0,0.49,1.3,1.3
0,0,1.04,0.2,0.14
50,0,3.39,0.32,0.32
6,0,1.79,0.27,0.27
0,0,7.94,0.55,0.68
0,0,0.84,0.12,0.12
25,0,4.68,0.41,0.54
25,0,1.84,0.02,0.02
100,0,3.99,0.14,0.34
33,6,14.52,0.38,0.28
100,0,0.53,0.44,0.44
68,11,22.52,1.08,1.08
0,0,3.29,0.13,0.09
0,8,9.03,0.02,0.11
100,0,1.79,0.33,0.33
0,0,0.05,0.04,0.04
0,0,0.03,0.16,0.16
0,0,0.17,0.14,0.14
52,9,24.91,1.19,0.96
17,0,0.15,0.08,0.11
0,0,1.58,0.12,0.12
50,0,0.55,0.16,0.16
0,0,0.09,0.08,0.08
0,0,0.05,0.05,0.05
0,0,1.26,0.05,0.05
0,0,3.27,0.56,0.56
100,0,21.91,0.32,7.58
0,0,0.07,0.01,0.01
21,0,3.46,0.41,0.58
100,0,0.36,0.06,0.06
26,1,3.09,0.09,0.13
26,0,3.87,0.34,0.32
0,0,4.72,1.06,1.06
80,0,24.93,0.16,0.34
33,0,5.03,0.71,0.64
19,4,9.87,0.21,0.48
25,0,0.56,0.08,0.08
0,0,0.3,0.02,0.02
60,13,19.79,1.36,1.31
100,0,0.36,0.06,0.04
50,0,2.88,0.47,0.47
67,0,6.39,0.3,0.3
50,0,2.75,0.06,0.16
32,5,30.97,0.69,35.13
25,0,5.71,0.24,1.16
82,22,38.17,0.88,1.34
0,0,3.59,0.03,0.69
60,4,24.17,1.69,2.05
100,0,7.74,0.75,0.45
0,0,0.07,0.03,0.03
50,3,8.29,0.09,0.28
0,0,0.4,0.42,0.42
25,0,1.48,0.88,0.88
0,0,0.07,0.04,0.04
0,0,0.03,0.02,0.02
25,0,0.92,0.03,0.03
40,2,6.26,1.44,0.39
100,0,0.9,0.85,0.85
0,0,0.26,0.03,0.03
42,10,16.96,0.35,0.26
0,0,0.66,0.08,0.18
78,0,9.34,0.38,0.38
0,0,1.26,0.03,0.06
0,0,0.09,0.02,0.02
44,16,26.79,0.58,0.58
0,0,0.04,0.02,0.02
0,15,20.97,0.45,0.83
0,0,0.61,0.13,0.13
100,0,1.46,0.1,0.19
0,0,0.33,0.12,0.19
80,21,27.81,0.59,0.8
71,0,9.61,0.33,0.3
100,0,15.21,0.83,0.92
16,0,1.08,0.25,0.26
9,0,7.26,0.63,1.91
0,0,0.36,0.28,0.28
100,0,8.33,0.66,0.66
56,4,15.72,0.57,1.03
100,0,16.01,2.61,2.61
24,7,8.89,6.79,5
65,14,20.82,0.99,0.67
31,0,8.06,2.03,2.07
60,76,76.9,0.3,3.78
33,11,23.98,0.78,0.78
20,13,13.48,0.28,0.2
100,2,7.87,0.66,0.2
67,10,17.62,0.24,0.24
42,11,18.81,0.18,0.29
67,0,2.82,0.73,0.73
0,0,0.25,0.24,0.24
100,0,30.88,21.41,25.72
13,0,2.28,0.58,0.58
0,0,0.09,0.02,0.02
52,8,12.43,0.26,0.41
36,0,3.07,0.24,0.26
27,0,0.36,0.19,0.19
32,0,1.1,0.18,0.24
0,0,0.27,0.07,0.07
70,15,20.29,1.22,0.68
70,11,28.99,0.81,1.87
40,0,0.8,0.32,0.24
20,3,7.61,0.58,1.3
0,0,0.18,0.06,0.06
100,0,1.93,0.07,0.1
40,4,13.45,0.63,1.08
0,0,0.39,0.02,0.02
100,0,15.74,2.96,2.96
0,0,0.23,0.06,0.06
0,0,14.86,1.39,1.39
0,0,28.8,1.09,1.09
0,0,0.05,0.02,0.02
0,0,0.68,0.05,0.11
0,0,0.14,0.04,0.06
0,0,0.89,0.02,0.02
33,40,39.48,7.6,16.23
0,0,0.2,0.02,0.02
38,0,11.13,0.4,0.58
50,0,4.21,0.18,0.6
40,0,9.91,2.82,4.31
43,14,16.63,0.06,0.06
75,50,48.19,1.47,1.47
100,14,19.79,0.12,0.47
0,0,2.67,0.94,0.33
100,0,6.18,0.16,0.16
33,0,5.85,1.2,0.6
60,0,12.57,0.34,0.34
27,0,1.19,0.08,0.08
67,0,24.49,4.55,4.55
93,33,48.88,1.11,0.93
50,9,15.48,0.02,0.29
30,12,21.52,0.2,1.04
100,27,33.49,3.28,0.99
0,0,2.6,0.31,0.31
19,0,6.28,0.44,0.47
0,0,0.02,0.01,0.01
50,40,42.77,1.1,1.99
53,0,1.61,0.28,0.27
67,3,17.77,0.58,2.15
60,13,13.28,0.1,0.12
0,0,0.16,0.05,0.05
32,4,9.56,0.16,0.32
0,0,2.9,0.25,0.25
59,17,22.36,0.47,0.91
0,0,0.12,0.02,0.06
0,0,1.64,0.02,0.07
0,0,0.08,0.03,0.03
0,0,0.07,0.04,0.04
41,20,24.15,0.71,0.92
0,5,12.38,0.09,1.14
20,0,11.94,0.82,0.82
100,0,1.03,0.12,0.12
0,0,0.15,0.06,0.06
44,7,15.77,0.33,0.53
65,19,30.88,0.4,0.67
49,8,15.96,0.35,0.85
35,4,11.56,0.43,0.62
64,9,36.46,1.1,1.17
0,0,5.05,0.32,0.35
14,14,17.14,0.34,0.34
49,51,59.49,1.04,1.84
50,8,27.09,3.41,1.54
100,0,0.6,0.02,0.02
75,0,12.79,0.09,0.16
0,0,0.55,0.38,0.38
100,0,0.33,0.08,0.08
100,0,29.43,0.05,0.33
100,13,22.18,1.47,0.9
53,10,21.22,0.49,2.02
0,38,47.52,0.03,0.27
0,0,0.09,0.02,0.02
0,21,40.44,0.05,6.7
0,0,0.36,0.04,0.04
0,0,0.44,0.04,0.04
100,0,8.56,0.19,0.8
23,0,9.5,0.43,0.38
0,0,0.34,0.08,0.1
0,19,25.13,0.72,5.22
0,0,1.43,0.21,0.21
43,11,17.12,0.27,0.36
50,3,15.13,0.39,1.24
23,0,5.61,1,1
0,0,2.69,0.02,0.1
67,5,12.29,2.19,1.07
33,0,2.25,0.34,0.22
25,0,0.49,0.12,0.1
0,0,0.62,0.02,0.1
100,0,0.95,0.06,0.06
100,0,21.65,1.79,1.91
34,3,4.84,0.11,0.13
0,0,0.59,0.06,0.06
40,1,2.25,0.11,0.13
100,0,0.9,0.03,0.03
0,0,2.19,0.71,0.36
0,0,1.53,0.35,0.4
100,0,0.59,0.05,0.05
0,0,0.15,0.03,0.03
100,0,33.44,0.83,0.83
25,0,5.02,0.76,0.8
0,0,1.23,0.2,0.15
41,1,8.05,0.55,0.85
42,7,14.19,0.29,0.95
33,13,17.14,0.05,0.56
38,3,12.97,0.07,0.35
0,0,2.61,2.55,1.28
25,13,13.42,0.31,0.19
56,13,17.14,1.05,0.7
67,0,1.98,0.72,0.44
53,8,14.93,1.01,0.53
45,6,12.49,2.03,1.57
35,4,8.75,0.5,0.5
